task,nl_step
put CellPhone2 on the Sofa3 Do not put it in Box1,"**Task**: put CellPhone2 on the Sofa3 Do not put it in Box1

**Steps in Natural Language**:
1. Agent 1 picks up cellphone 2 from location1.
2. Agent 1 moves from location1 to sofa3.
3. Agent 1 puts cellphone 2 on sofa3."
put CD1 next to Sofa1 Do not move CreditCard1,"**Task**: put CD1 next to Sofa1 Do not move CreditCard1

**Steps in Natural Language**:
1. Agent picks up CD1 from the table.
2. Agent moves from the table to Sofa1.
3. Agent puts CD1 next to Sofa1."
put KeyChain1 on the Sofa2 Do not put it in Box1,"**Task**: put KeyChain1 on the Sofa2 Do not put it in Box1

**Steps in Natural Language**:
1. Agent 1 picks up KeyChain 1 from Location 1.
2. Agent 1 moves from Location 1 to Sofa 2.
3. Agent 1 puts KeyChain 1 in Sofa 2."
move CellPhone1 to Box2 with two object,"**Task**: move CellPhone1 to Box2 with two object

**Steps in Natural Language**:
1. Agent 1 picks up cellphone 1 from location 1.
2. Agent 1 picks up object 2 from location 2.
3. Agent 1 moves from location 1 to box 2.
4. Agent 1 puts cellphone 1 in box 2.
5. Agent 1 puts object 2 in box 2."
move CellPhone1 to Box1 with three object,"**Task**: move CellPhone1 to Box1 with three object  
**Steps in Natural Language**:
1. Agent 1 moves from location1 to location2.
2. Agent 1 picks up object1 from location2.
3. Agent 1 puts object1 in box1.
4. Agent 1 moves from location2 to location3.
5. Agent 1 picks up object2 from location3.
6. Agent 1 puts object2 in box1.
7. Agent 1 moves from location3 to location4.
8. Agent 1 picks up object3 from location4.
9. Agent 1 puts object3 in box1.
10. Agent 1 moves from location4 to box1."
move KeyChain1 to GarbageCan2 with more object,"**Task**: move KeyChain1 to GarbageCan2 with more object

**Steps in Natural Language**:
1. Agent 1 picks up KeyChain1 from Desk1.
2. Agent 1 moves from Desk1 to GarbageCan2.
3. Agent 1 puts KeyChain1 in GarbageCan2."
move AlarmClock1 to Box2 with three object,"**Task**: move AlarmClock1 to Box2 with three object

**Steps in Natural Language**:
1. Agent 1 picks up Alarm Clock 1 from location 1.
2. Agent 1 moves from location 1 to location 2.
3. Agent 1 moves from location 2 to box 2.
4. Agent 1 puts Alarm Clock 1 in box 2."
move Pillow1 to Box2 with two object,"**Task**: move Pillow1 to Box2 with two object

**Steps in Natural Language**:
1. Agent 1 picks up pillow 1 from location 1.
2. Agent 1 moves from location 1 to box 2.
3. Agent 1 puts pillow 1 in box 2."
move CellPhone1 to Bed1 with more object,"**Task**: move CellPhone1 to Bed1 with more object

**Steps in Natural Language**:
1. Agent 1 moves from location 1 to location 2.
2. Agent 1 picks up cellphone 1 from location 2.
3. Agent 1 moves from location 2 to bed 1.
4. Agent 1 puts cellphone 1 in bed 1."
put Book1 on the Sofa1 Do not put it in Box1,"**Task**: put Book1 on the Sofa1 Do not put it in Box1

**Steps in Natural Language**:
1. Agent 1 picks up book 1 from location 1.
2. Agent 1 moves from location 1 to sofa 1.
3. Agent 1 puts book 1 in sofa 1."
